year;month;min;mean;max
2020;1;32.0;32.0;32.0
2020;2;36.4;36.4;36.4
2020;3;32.9;32.9;32.9
2020;4;41.7;41.7;41.7
2020;5;34.3;34.3;34.3
2020;6;33.2;33.2;33.2
2020;7;4.4;6.1;8.0
2020;8;5.8;7.3;8.7
2020;9;8.3;10.2;12.2
2020;10;6.5;8.8;11.1
2020;11;4.2;7.0;9.8
2020;12;3.9;6.4;9.7
2021;1;2.5;4.8;7.4
2021;2;2.9;5.5;8.6
2021;3;4.0;6.3;8.6
2021;4;9.3;12.7;16.3
2021;5;11.4;16.7;21.9
2021;6;9.2;12.8;16.1
2021;7;13.1;17.4;21.5
2021;8;10.4;14.8;20.2
2021;9;12.5;17.6;23.3
2021;10;35.3;49.4;69.4
2021;11;12.3;24.9;42.0
2021;12;13.2;26.0;43.3
2022;1;7.2;17.0;30.6
2022;2;11.9;21.2;31.9
2022;3;12.4;25.9;41.6
2022;4;9.3;21.8;37.7
2022;5;8.0;18.9;32.3
2022;6;9.1;17.8;28.8
2022;7;12.8;26.4;42.5
2022;8;14.8;32.9;50.7
2022;9;15.2;24.7;37.6
2022;10;20.0;32.6;46.4
2022;11;6.6;15.3;25.1
2022;12;2.7;12.2;31.9
2023;1;2.5;8.7;17.9
2023;2;7.1;13.8;21.5
2023;3;7.1;12.6;19.8
2023;4;3.5;7.0;11.3
2023;5;2.7;5.6;9.2
2023;6;2.2;5.4;9.1
2023;7;2.3;4.9;9.2
2023;8;2.4;5.6;10.1
2023;9;3.2;6.7;11.9
2023;10;4.0;9.3;14.9
